 Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5;
10;0.45;0.00;0.00;0.00;
11;2.24;0.00;0.00;0.00;
12;1.59;0.00;0.00;0.00;
13;5.30;0.01;1.15;2.00;
5;0.06;0.00;0.00;0.00;
6;0.25;0.00;0.00;0.00;
7;0.19;0.00;0.00;0.00;
8;0.76;0.02;1.62;15.00;
9;1.18;0.00;0.00;0.00;
10;1.09;0.02;1.76;35.00;
11;1.78;0.01;1.26;35.00;
12;1.88;0.02;2.12;80.00;
13;7.57;0.01;0.50;25.00;
17;10.40;0.06;6.49;5.00;
34;70.01;0.11;11.20;144.00;
65;498.50;0.11;10.53;193.60;
100;2104.47;0.16;15.68;5679.80;
171;8908.45;0.19;18.83;518.80;
14;6.41;0.03;2.65;88.00;
29;37.09;0.08;8.26;133.00;
100;2429.34;0.12;12.16;2588.40;
137;5821.02;0.15;15.25;10651.60;
150;5778.30;0.17;16.66;4354.20;
200;14545.15;0.19;18.78;5528.60;
Parowanie = 0.75; Alfa = 1; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.26;0.00;0.00;0.00;
9;0.27;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;2.37;0.01;1.28;2.00;
12;2.80;0.00;0.00;0.00;
13;3.43;0.02;2.30;4.00;
5;0.05;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.54;0.03;2.59;15.00;
8;0.99;0.01;1.08;10.00;
9;1.19;0.02;1.82;25.00;
10;1.83;0.01;0.76;15.00;
11;1.59;0.02;1.62;45.00;
12;2.05;0.01;0.80;30.00;
13;7.58;0.01;0.90;45.00;
17;8.99;0.05;5.19;4.00;
34;67.29;0.09;9.25;119.00;
65;593.85;0.10;9.84;181.00;
100;1631.35;0.13;13.15;4765.00;
171;9647.98;0.22;21.79;600.20;
14;4.60;0.04;3.80;126.20;
29;40.70;0.08;7.89;127.00;
100;1875.44;0.09;9.43;2007.40;
137;6060.36;0.10;9.78;6828.80;
150;5966.19;0.13;13.16;3440.00;
200;14335.43;0.14;14.01;4125.20;
Parowanie = 0.75; Alfa = 1; Beta = 5; Stala = 5; 
5;0.04;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.34;0.00;0.00;0.00;
11;0.56;0.00;0.00;0.00;
12;0.71;0.00;0.00;0.00;
13;2.80;0.02;1.72;3.00;
5;0.02;0.00;0.00;0.00;
6;0.10;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.58;0.00;0.00;0.00;
10;0.96;0.00;0.00;0.00;
11;1.66;0.01;0.72;20.00;
12;3.08;0.01;1.06;40.00;
13;5.88;0.00;0.40;20.00;
17;8.98;0.06;6.49;5.00;
34;36.51;0.11;11.43;147.00;
65;500.98;0.07;7.31;134.40;
100;1994.57;0.12;11.89;4309.20;
171;6253.34;0.22;21.60;595.20;
14;4.22;0.03;2.65;88.00;
29;33.88;0.10;9.94;160.00;
100;1865.07;0.09;8.78;1868.00;
137;4172.73;0.09;8.54;5968.20;
150;8245.41;0.09;9.43;2463.60;
200;17423.55;0.12;12.21;3595.20;
Parowanie = 0.75; Alfa = 3; Beta = 2; Stala = 5; 
5;0.05;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.11;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.85;0.10;10.26;16.00;
12;0.90;0.00;0.00;0.00;
13;2.63;0.05;5.17;9.00;
5;0.27;0.07;7.50;15.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.65;0.08;8.11;75.00;
9;0.85;0.01;1.09;15.00;
10;1.35;0.03;2.77;55.00;
11;1.67;0.02;1.62;45.00;
12;1.93;0.02;1.73;65.00;
13;2.81;0.02;1.91;95.00;
17;4.05;0.10;10.13;7.80;
34;52.51;0.09;8.86;114.00;
65;342.14;0.14;13.64;250.80;
100;1200.82;0.20;20.42;7397.20;
171;5246.61;0.22;21.75;599.20;
14;3.72;0.05;5.45;181.00;
29;29.75;0.12;12.17;196.00;
100;1228.98;0.14;13.74;2924.20;
137;3138.36;0.13;12.78;8928.60;
150;4428.25;0.13;12.86;3360.60;
200;11178.63;0.16;15.75;4636.40;
Parowanie = 0.75; Alfa = 3; Beta = 3; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.11;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.57;0.03;2.56;4.00;
12;0.72;0.00;0.00;0.00;
13;2.61;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.28;0.00;0.00;0.00;
8;0.20;0.00;0.00;0.00;
9;1.11;0.01;1.45;20.00;
10;1.44;0.02;1.76;35.00;
11;1.41;0.02;1.62;45.00;
12;1.76;0.02;1.59;60.00;
13;2.16;0.01;1.40;70.00;
17;8.38;0.03;2.60;2.00;
34;49.76;0.06;5.68;73.00;
65;385.33;0.10;9.98;183.60;
100;1207.70;0.15;14.89;5394.00;
171;5496.96;0.22;22.41;617.40;
14;4.50;0.03;2.65;88.00;
29;27.72;0.15;15.03;242.00;
100;1158.99;0.13;12.88;2741.40;
137;3236.54;0.10;10.38;7249.00;
150;4073.55;0.13;12.97;3388.80;
200;8885.25;0.15;14.54;4279.00;
Parowanie = 0.75; Alfa = 3; Beta = 5; Stala = 5; 
